NAME IN REPO	META PACKAGE	PACKAGE GROUP(S)	PURPOSE (should be a verb phrase to sound right while installing)
xorg-xdpyinfo		xorg, xorg-apps	"aids with resolution determination and screen recording."
xorg-xdriinfo		xorg, xorg-apps	
xorg-xev		xorg, xorg-apps	
xorg-xgamma		xorg, xorg-apps	
xorg-xhost		xorg, xorg-apps	
xorg-xinit			"starts the graphical server."
xorg-xinput		xorg, xorg-apps	
xorg-xkbcomp		xorg, xorg-apps	
xorg-xkbevd		xorg, xorg-apps	
xorg-xkbutils		xorg, xorg-apps	
xorg-xkill		xorg, xorg-apps	
xorg-xlsatoms		xorg, xorg-apps	
xorg-xlsclients		xorg, xorg-apps	
xorg-xmodmap		xorg, xorg-apps	
xorg-xpr		xorg, xorg-apps	
xorg-xprop		xorg, xorg-apps	"is a tool for detecting window properties."
xorg-xrandr		xorg, xorg-apps	"allows to customize monitor arrangements."
xorg-xrdb		xorg, xorg-apps	
xorg-xrefresh		xorg, xorg-apps	
xorg-xset		xorg, xorg-apps	
xorg-xsetroot		xorg, xorg-apps	
xorg-xvinfo		xorg, xorg-apps	
xorg-xwd		xorg, xorg-apps	
xorg-xwininfo		xorg, xorg-apps	"allows querying information about windows."
xorg-xwud		xorg, xorg-apps	
xscreensaver			
yasm			
youtube-dl			"can download any YouTube video (or playlist or channel) when given the link."
zathura			"is a pdf viewer with vim-like bindings."
zathura-pdf-mupdf			"allows mupdf pdf compatibility in zathura."
zenity			"displays graphical dialog boxes from shell scripts, needed for Thunar 'Create New File' custom action."
zip			
zsh			"is a modern shell."
zstd			
